date,player,tm,game,prop,line,rec,book,odds,ev,rank,in_top10,in_ev25,actual,result,units,real_odds
20260519,Kiki Rice,TOR,TOR @ PHX,Rebounds,3.5,UNDER,,-110,27.8,10,True,True,7,LOSS,-1.0,False
20260522,Rhyne Howard,ATL,DAL @ ATL,Points,15.5,OVER,BO,-110,67.5,1,True,True,25,WIN,0.9091,False
20260522,Janelle Salaun,GS,GS @ IND,Points,11.5,OVER,BO,-110,65.0,2,True,True,4,LOSS,-1.0,False
20260522,Janelle Salaun,GS,GS @ IND,Rebounds,3.5,OVER,DK,-110,62.6,3,True,True,2,LOSS,-1.0,False
20260522,Angel Reese,ATL,DAL @ ATL,Points,13.5,OVER,FD,-110,55.6,4,True,True,15,WIN,0.9091,False
20260522,Kiah Stokes,GS,GS @ IND,Rebounds,4.5,UNDER,BO,-110,53.8,5,True,True,7,LOSS,-1.0,False
20260522,Alanna Smith,DAL,DAL @ ATL,Rebounds,4.5,UNDER,DK,-110,53.0,6,True,True,2,WIN,0.9091,False
20260522,Monique Billings,IND,GS @ IND,Rebounds,6.5,UNDER,FD,-110,49.6,7,True,True,3,WIN,0.9091,False
20260522,Kelsey Mitchell,IND,GS @ IND,Rebounds,2.5,UNDER,DK,-110,41.3,8,True,True,0,WIN,0.9091,False
20260522,Lexie Hull,IND,GS @ IND,Rebounds,3.5,UNDER,BO,-110,37.1,9,True,True,4,LOSS,-1.0,False
20260522,Veronica Burton,GS,GS @ IND,Points,14.5,OVER,FD,-110,35.7,10,True,True,17,WIN,0.9091,False
20260522,Jordin Canada,ATL,DAL @ ATL,Points,10.5,OVER,FD,-110,35.1,11,False,True,9,LOSS,-1.0,False
20260522,Gabby Williams,GS,GS @ IND,Rebounds,4.5,UNDER,DK,-110,33.5,12,False,True,0,WIN,0.9091,False
20260522,Jade Melbourne,SEA,CON @ SEA,Points,11.5,UNDER,BO,-110,31.5,13,False,True,4,WIN,0.9091,False
20260522,Sophie Cunningham,IND,GS @ IND,Rebounds,3.5,UNDER,BO,-110,29.5,14,False,True,0,WIN,0.9091,False
20260522,Azzi Fudd,DAL,DAL @ ATL,Points,8.5,OVER,BO,-110,26.1,15,False,True,7,LOSS,-1.0,False
20260522,Caitlin Clark,IND,GS @ IND,Rebounds,5.5,UNDER,FD,-110,26.0,16,False,True,2,WIN,0.9091,False
20260522,Kayla Thornton,GS,GS @ IND,Rebounds,5.5,OVER,FD,-110,25.3,17,False,True,2,LOSS,-1.0,False
20260523,Carla Leite,POR,POR @ TOR,Points,15.5,UNDER,BO,-110,76.0,1,True,True,15,WIN,0.9091,False
20260523,Bridget Carleton,POR,POR @ TOR,Points,15.5,UNDER,FD,-110,70.9,2,True,True,15,WIN,0.9091,False
20260523,Carla Leite,POR,POR @ TOR,Rebounds,2.5,UNDER,BO,-110,62.3,3,True,True,3,LOSS,-1.0,False
20260523,Chennedy Carter,LV,LA @ LV,Points,15.5,OVER,BO,-110,58.9,4,True,True,23,WIN,0.9091,False
